step,losses/eval.bodypart_heatmap,losses/eval.bodypart_locref,losses/eval.bodypart_total_loss,losses/eval.total_loss,losses/train.bodypart_heatmap,losses/train.bodypart_locref,losses/train.bodypart_total_loss,losses/train.total_loss,metrics/test.mAP,metrics/test.mAR,metrics/test.rmse,metrics/test.rmse_pcutoff
13,0.0014058455126360059,0.20715521275997162,0.005881803575903177,0.005881803575903177,0.0014546257443726063,0.2072770744562149,0.005909238941967487,0.005909238941967487,64.71205938578825,70.1664025356577,30.035317762022853,12.637996013815465
14,0.0013701225398108363,0.20284409821033478,0.0057561639696359634,0.0057561639696359634,0.0014265449717640877,0.20379076898097992,0.005808041896671057,0.005808041896671057,65.55061449419173,71.18953211736716,28.929327031104254,13.20535007425663
15,0.0013833604753017426,0.20206192135810852,0.005743228364735842,0.005743228364735842,0.0014025068376213312,0.2000095546245575,0.005701492540538311,0.005701492540538311,67.41918959079794,72.70420301348136,27.007505060811816,13.885837653037697
16,0.0012878102716058493,0.19368457794189453,0.005486019887030125,0.005486019887030125,0.0013919126940891147,0.1992000937461853,0.005675958469510078,0.005675958469510078,68.33260961370364,73.73713380839271,26.637764697364027,13.9730298693297
17,0.0012796466471627355,0.19429484009742737,0.0054971943609416485,0.0054971943609416485,0.0013577720383182168,0.1952592432498932,0.005560367368161678,0.005560367368161678,68.3297051493037,73.8479809976247,26.877241790772985,13.98141554874237
18,0.0012592667480930686,0.18964524567127228,0.005370764527469873,0.005370764527469873,0.0013421544572338462,0.19206281006336212,0.005472647491842508,0.005472647491842508,69.90851316841518,74.67563291139241,25.998237321519056,12.380415928909603
19,0.0012540697352960706,0.18931584060192108,0.005359930917620659,0.005359930917620659,0.0013166835997253656,0.18945784866809845,0.00539478799328208,0.00539478799328208,68.79315947882712,74.35229067930489,26.375132776007423,12.792266894579106
20,0.0012435313547030091,0.1889180839061737,0.005344717763364315,0.005344717763364315,0.001298648421652615,0.18757425248622894,0.00533868046477437,0.00533868046477437,69.88044037398514,74.82950039651071,25.776132701675934,13.11054639957979
21,0.0012751065660268068,0.1918015480041504,0.005432592239230871,0.005432592239230871,0.001292228465899825,0.18648746609687805,0.005308300722390413,0.005308300722390413,69.17575853759259,74.21677215189872,25.67031858494348,13.972571416074095
22,0.0012134984135627747,0.1870366930961609,0.0052826665341854095,0.0052826665341854095,0.0012746254215016961,0.1832270324230194,0.005217988975346088,0.005217988975346088,70.48660961572885,75.34810126582279,24.85743665865122,13.37746764668624
23,0.001962243113666773,0.2411557137966156,0.0070100147277116776,0.0070100147277116776,0.0012563146883621812,0.1809191107749939,0.0051511358469724655,0.0051511358469724655,52.057382621612106,56.65086887835702,47.098187617069044,14.880935960206827
24,0.0012981119798496366,0.19377994537353516,0.005493554752320051,0.005493554752320051,0.0012477609561756253,0.18022815883159637,0.005129584576934576,0.005129584576934576,69.05642756626543,74.01743264659272,26.525394479844913,13.808849494875155
25,0.001224578358232975,0.1853809952735901,0.005246813874691725,0.005246813874691725,0.00123308296315372,0.17805300652980804,0.00506786722689867,0.00506786722689867,69.71097873878142,74.70727848101266,26.402202404341725,12.541557847509024
26,0.0012068938231095672,0.1832229495048523,0.005184020847082138,0.005184020847082138,0.0012499932199716568,0.17998909950256348,0.005124724004417658,0.005124724004417658,70.67460527303588,75.33175355450237,24.876042293190185,12.540345243968883
27,0.0011801758082583547,0.18229392170906067,0.0051474361680448055,0.0051474361680448055,0.0012177260359749198,0.17580504715442657,0.0050039892084896564,0.0050039892084896564,71.55640651751068,76.18858954041204,24.72587510880063,14.172901873397358
28,0.001165707129985094,0.17801228165626526,0.005033161025494337,0.005033161025494337,0.0011950726620852947,0.17244389653205872,0.004908634349703789,0.004908634349703789,72.51787773154095,77.07936507936508,23.785138244079818,12.730739202903823
29,0.001247075037099421,0.1844186782836914,0.005234003998339176,0.005234003998339176,0.0011916038347408175,0.17287775874137878,0.004917745944112539,0.004917745944112539,70.01226274157875,74.6086956521739,26.493391589183837,12.731922688068488
30,0.0012127637164667249,0.18078790605068207,0.005126079544425011,0.005126079544425011,0.0011741271009668708,0.16958442330360413,0.004826673772186041,0.004826673772186041,71.05236029738671,75.86042823156225,24.468493101880945,13.778890082325807
31,0.0010308942291885614,0.16505686938762665,0.004641868639737368,0.004641868639737368,0.0010617750231176615,0.15022142231464386,0.0042864237911999226,0.0042864237911999226,74.44548952767003,78.84920634920634,22.07954639880023,12.478414743735048
32,0.0010272227227687836,0.16478607058525085,0.004633263219147921,0.004633263219147921,0.0010185494320467114,0.14499105513095856,0.004134051036089659,0.004134051036089659,74.29104410791247,79.01341752170481,21.77721819264641,12.734745863712227
33,0.0009964820928871632,0.16225583851337433,0.0045546372421085835,0.0045546372421085835,0.0010020737536251545,0.14213457703590393,0.0040544020012021065,0.0040544020012021065,75.73826834195906,79.98420221169036,21.326724428958073,12.409559838717675
34,0.001003604382276535,0.16367942094802856,0.004593787714838982,0.004593787714838982,0.0009870266076177359,0.13998012244701385,0.003993016202002764,0.003993016202002764,75.13180121821532,79.35917721518987,21.65465844570712,12.48058098392063
35,0.0009898511925712228,0.1608198881149292,0.004515422973781824,0.004515422973781824,0.0009765518479980528,0.13862411677837372,0.0039538792334496975,0.0039538792334496975,75.69347370980455,80.07911392405063,21.52728429174089,12.524484319584909
36,0.0010017426684498787,0.16316816210746765,0.004580075386911631,0.004580075386911631,0.0009625222301110625,0.13640959560871124,0.003891501110047102,0.003891501110047102,74.47732498532729,78.91613924050633,22.261578435912643,12.33803374577054
37,0.001009225146844983,0.16372618079185486,0.004597767256200314,0.004597767256200314,0.0009608999243937433,0.13501933217048645,0.003855933202430606,0.003855933202430606,75.14848406893312,79.69145569620252,21.84607569016501,12.54895562845937
38,0.000990919303148985,0.16029413044452667,0.0045028128661215305,0.0045028128661215305,0.0009496839484199882,0.13358186185359955,0.0038143887650221586,0.0038143887650221586,75.13221743247385,79.64426877470355,21.51839381276048,12.697964412392997
39,0.0009979188907891512,0.16180692613124847,0.004544132389128208,0.004544132389128208,0.0009485040791332722,0.13381899893283844,0.0038197271060198545,0.0038197271060198545,75.3261917338675,79.76247030878861,21.260112805216632,12.504177060820936
40,0.0009940548334270716,0.1602274477481842,0.004502713680267334,0.004502713680267334,0.000942378886975348,0.1322018802165985,0.003776236204430461,0.003776236204430461,76.20622191088438,80.58590657165479,21.693207088053086,12.42323387155081
41,0.0009718772489577532,0.15837189555168152,0.004445235710591078,0.004445235710591078,0.0009190464043058455,0.12848643958568573,0.003671684069558978,0.003671684069558978,76.46631406584761,80.87301587301587,20.47566867605585,12.671363502855359
42,0.0009634954039938748,0.15744778513908386,0.004417942371219397,0.004417942371219397,0.0009072457323782146,0.12622050940990448,0.0036091352812945843,0.0036091352812945843,76.63013253720746,80.76740506329114,20.712166609323436,12.507870671745417
43,0.0009810281917452812,0.16155579686164856,0.004529409576207399,0.004529409576207399,0.0009130565449595451,0.12633809447288513,0.0036149804946035147,0.0036149804946035147,75.18741665886627,79.74663499604115,21.335475279183555,12.372493615768876
44,0.000991285196505487,0.1596529483795166,0.004486966412514448,0.004486966412514448,0.0009011088404804468,0.12472783029079437,0.0035687503404915333,0.0035687503404915333,76.19742964000359,80.49089469517024,21.356521308967647,12.830067800065532
45,0.0009759446256794035,0.15947407484054565,0.004474824294447899,0.004474824294447899,0.0009003879968076944,0.12451301515102386,0.003563019447028637,0.003563019447028637,76.23723822526756,80.625,21.186048186695594,12.791376865009127
46,0.0009716890635900199,0.1582375317811966,0.004441782832145691,0.004441782832145691,0.0008880231762304902,0.12299112975597382,0.003518790239468217,0.003518790239468217,76.19245655789275,80.47430830039526,20.824681285060468,12.673842212150397
47,0.0009745026472955942,0.16227340698242188,0.004544086288660765,0.004544086288660765,0.0008940183906815946,0.12284298241138458,0.0035180835984647274,0.0035180835984647274,75.43731852524267,79.81803797468355,20.972552514649756,12.797812428930005
48,0.0009738201042637229,0.16011278331279755,0.00448973011225462,0.00448973011225462,0.0008908174932003021,0.12256726622581482,0.0035095899365842342,0.0035095899365842342,76.83311806501617,81.00793650793649,21.12507066714756,12.614093342768559
49,0.0009779364336282015,0.1613486111164093,0.004522683564573526,0.004522683564573526,0.0008859592489898205,0.12209960073232651,0.0034954699221998453,0.0034954699221998453,76.01011386663967,80.22151898734178,20.995855993138953,12.75224157749408
50,0.0009683130774646997,0.16131484508514404,0.004517027642577887,0.004517027642577887,0.0008850655285641551,0.1219845861196518,0.0034921474289149046,0.0034921474289149046,76.72112003634017,81.0467882632831,20.89363691948912,12.362029943883972
