step,losses/eval.bodypart_heatmap,losses/eval.bodypart_locref,losses/eval.bodypart_total_loss,losses/eval.total_loss,losses/train.bodypart_heatmap,losses/train.bodypart_locref,losses/train.bodypart_total_loss,losses/train.total_loss,metrics/test.mAP,metrics/test.mAR,metrics/test.rmse,metrics/test.rmse_pcutoff
1,0.0026462378446012735,0.3221469521522522,0.009376793168485165,0.009376793168485165,0.0036913063377141953,0.43184784054756165,0.012641849927604198,0.012641849927604198,25.31967680328241,34.70727848101266,69.54652666242403,17.574491536042775
2,0.002290646079927683,0.29193124175071716,0.008443604223430157,0.008443604223430157,0.002398761920630932,0.31764379143714905,0.00914047658443451,0.00914047658443451,38.2300113447116,45.984189723320156,57.07570891070399,13.736749743777313
3,0.0021741902455687523,0.2818233072757721,0.00813267845660448,0.00813267845660448,0.0021625536028295755,0.2926323711872101,0.008397085592150688,0.008397085592150688,43.204526652488425,50.72107765451664,52.67059545535418,17.325582804075545
4,0.0017894648481160402,0.2515416145324707,0.007183272857218981,0.007183272857218981,0.0019711714703589678,0.2711314857006073,0.007763872854411602,0.007763872854411602,53.294561824122525,60.58451816745656,39.22182070210603,13.136914406745596
5,0.0017116742674261332,0.2356812059879303,0.006747867446392775,0.006747867446392775,0.0018493192037567496,0.25528571009635925,0.007306802086532116,0.007306802086532116,57.46984632735042,64.5605700712589,36.181355059015615,13.824096661628316
6,0.0017255188431590796,0.24179156124591827,0.006907548755407333,0.006907548755407333,0.001765054534189403,0.24691762030124664,0.007055467925965786,0.007055467925965786,55.38405322604948,61.78374112075768,38.18892654925306,11.622045713014435
7,0.0015521090244874358,0.22151395678520203,0.006313903722912073,0.006313903722912073,0.0017008144641295075,0.23928220570087433,0.00683246273547411,0.00683246273547411,61.30546011516085,67.47626582278482,32.77731867939596,12.932123650169167
8,0.0015217395266517997,0.21537426114082336,0.006145226303488016,0.006145226303488016,0.0016277834074571729,0.2301892340183258,0.00656862324103713,0.00656862324103713,62.60834080263433,68.94528152260112,31.03228806139821,13.112162922293097
9,0.0015050064539536834,0.21883797645568848,0.006223452743142843,0.006223452743142843,0.0015830862103030086,0.22403649985790253,0.006392455659806728,0.006392455659806728,61.855564737559575,67.81299524564184,32.91160523072255,13.663986458533323
10,0.0014352945145219564,0.20646049082279205,0.005879160016775131,0.005879160016775131,0.0015549856470897794,0.2206968516111374,0.006294914521276951,0.006294914521276951,65.30987531373307,71.34493670886076,29.490900792748402,13.727872477205379
11,0.0014402993256226182,0.20649175345897675,0.005882442928850651,0.005882442928850651,0.001521446043625474,0.21580687165260315,0.006155895069241524,0.006155895069241524,63.89009393577377,70.36306235201263,29.54121014704791,13.10078993950206
12,0.001416736631654203,0.20822052657604218,0.0059138815850019455,0.0059138815850019455,0.0014692055992782116,0.2092115432024002,0.005964891519397497,0.005964891519397497,66.27016100577258,71.39130434782608,28.234484969723603,13.988073597899602
